,Province_State,Date,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7,retail_recreation,grocery_pharmacy,parks,transit,work,residential
14539,Virginia,2020-01-25,0,0,0,0,,,,,VA,0.0,0.0,Virginia,8535519.0,,,,,,,,
14540,Virginia,2020-01-26,0,0,0,0,,,,,VA,0.0,0.0,Virginia,8535519.0,,,,,,,,
14541,Virginia,2020-01-27,0,0,0,0,,,,,VA,0.0,0.0,Virginia,8535519.0,,,,,,,,
14542,Virginia,2020-01-28,0,0,0,0,0.0,0.0,,,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14543,Virginia,2020-01-29,0,0,0,0,0.0,0.0,,,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14544,Virginia,2020-01-30,0,0,0,0,0.0,0.0,,,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14545,Virginia,2020-01-31,0,0,0,0,0.0,0.0,,,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14546,Virginia,2020-02-01,0,0,0,0,0.0,0.0,,,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14547,Virginia,2020-02-02,0,0,0,0,0.0,0.0,,,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14548,Virginia,2020-02-03,0,0,0,0,0.0,0.0,,,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14549,Virginia,2020-02-04,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14550,Virginia,2020-02-05,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14551,Virginia,2020-02-06,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14552,Virginia,2020-02-07,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14553,Virginia,2020-02-08,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14554,Virginia,2020-02-09,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14555,Virginia,2020-02-10,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14556,Virginia,2020-02-11,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14557,Virginia,2020-02-12,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14558,Virginia,2020-02-13,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14559,Virginia,2020-02-14,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,,,,,,
14560,Virginia,2020-02-15,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,7.033898305084746,1.7033898305084745,1.6521739130434783,5.875,0.6043956043956044,-0.4827586206896552
14561,Virginia,2020-02-16,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,5.916666666666667,0.08771929824561403,3.52,3.189189189189189,0.4318181818181818,-0.4482758620689655
14562,Virginia,2020-02-17,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,6.327433628318584,0.4358974358974359,33.1578947368421,1.8333333333333333,-19.236220472440944,5.015873015873016
14563,Virginia,2020-02-18,0,0,0,0,0.0,0.0,0.0,0.0,VA,0.0,0.0,Virginia,8535519.0,0.0,0.0,2.7876106194690267,1.9478260869565218,19.894736842105264,4.545454545454546,2.492063492063492,-0.2676056338028169
