Province_State,Date,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7,retail_recreation,grocery_pharmacy,parks,transit,work,residential
Utah,7/18/20,33332,243,760,8,639.5714286,4.428571429,627.8571429,4.428571429,UT,39.35,48.61,Utah,3205958,19.94946374,0.138135666,-4.25,7.545454545,136.8571429,7.416666667,-9.777777778,1.444444444
Utah,7/19/20,34117,243,785,0,661.8571429,4,654.6428571,4.214285714,UT,39.35,48.61,Utah,3205958,20.64459805,0.124767698,0.363636364,18.2,130.8333333,0.636363636,-20.8125,0.857142857
Utah,7/20/20,34526,247,409,4,642.2857143,4.428571429,646.9285714,4.071428571,UT,43.06,51.39,Utah,3205958,20.03412753,0.138135666,4.2,10.36363636,126.1428571,-0.538461538,-29.6,7.7
Utah,7/21/20,35012,251,486,4,647.7142857,3.571428571,641.3571429,4.071428571,UT,43.06,51.39,Utah,3205958,20.20345512,0.11139973,1.571428571,11.36363636,132.8571429,-2.846153846,-31.2,8.6
Utah,7/22/20,35578,260,566,9,669.5714286,3.857142857,630.2142857,4.214285714,UT,43.06,51.39,Utah,3205958,20.88522147,0.120311709,4.8,10.90909091,114.5714286,-4.538461538,-30.16,8.727272727
Utah,7/23/20,36099,267,521,7,607.7142857,4.714285714,624.5,4.428571429,UT,43.06,51.39,Utah,3205958,18.95577814,0.147047644,7.333333333,17.27272727,127.3333333,-7.166666667,-32.32,7.8
Utah,7/24/20,36962,273,863,6,627.1428571,5.428571429,624.2142857,4.714285714,UT,43.06,51.39,Utah,3205958,19.56179267,0.16932759,-7.933333333,15.18181818,134,-4.5,-46.36,9.9
Utah,7/25/20,37623,274,661,1,613,4.428571429,626.2857143,4.428571429,UT,43.06,51.39,Utah,3205958,19.12064974,0.138135666,-7.5625,3.636363636,132.2857143,-3.166666667,-14,1.5
Utah,7/26/20,37973,274,350,0,550.8571429,4.428571429,606.3571429,4.214285714,UT,43.06,51.39,Utah,3205958,17.18229443,0.138135666,-1.090909091,17.36363636,133.8333333,8.666666667,-20.25,-0.285714286
Utah,7/27/20,38409,281,436,7,554.7142857,4.857142857,598.5,4.642857143,UT,43.06,51.39,Utah,3205958,17.30260614,0.151503633,4.066666667,9,110.2857143,-0.769230769,-29.88,7.7
Utah,7/28/20,38855,286,446,5,549,5,598.3571429,4.285714286,UT,43.06,51.39,Utah,3205958,17.12436657,0.155959623,0.928571429,9.181818182,134,-1.461538462,-30.44,8.5
Utah,7/29/20,39194,292,339,6,516.5714286,4.571428571,593.0714286,4.214285714,UT,43.06,51.39,Utah,3205958,16.11285702,0.142591655,3.4,10.90909091,134.8333333,3,-30.8,7.7
